,movie_id,year,rating,running_time,country,age_limit,genre,director,netflix,wavve,tving,disney,watcha,coupang,naver
9829,71038,2015,0.0,63,일본,12세이상관람가,액션,사카모토 코이치,0,0,0,0,0,0,0
9830,71039,2012,0.0,72,일본,미정,액션,오가와 코지,0,0,0,0,0,0,0
9831,71041,2016,0.0,108,영국,12세이상관람가,다큐멘터리,벤자민 터너,0,1,0,0,0,0,0
9832,71042,2016,0.0,92,미국,12세이상관람가,드라마,안나 엘리자베스 제임스,0,1,1,0,0,0,1
9833,71056,2017,53.33,87,미국,15세이상관람가,스릴러,피터 듀크스,0,1,0,0,0,0,0
9834,71057,2018,28.57,95,미국,영국,청소년관람불가,제임스 오클레이,0,1,1,0,1,0,1
9835,71060,2019,41.18,104,한국,12세이상관람가,드라마,정용주,0,1,1,0,1,0,0
9836,71061,2016,0.0,79,미국,15세이상관람가,스릴러,데이브 파커,0,0,1,0,1,0,0
9837,71062,2018,0.0,129,스웨덴,12세이상관람가,스릴러,빅토르 다넬,0,1,0,0,1,0,1
9838,71063,2018,0.0,78,미국,전체관람가,애니메이션,에단 스폴딩,0,1,0,0,0,0,0
9839,71064,2018,0.0,77,미국,전체관람가,액션,맷 피터스,0,1,0,0,0,0,0
9840,71066,2018,0.0,90,미국,15세이상관람가,다큐멘터리,제임스 D. 스턴,0,0,1,0,0,0,1
9841,71070,2016,0.0,124,러시아,12세이상관람가,드라마,니콜라이 콤메리키,0,0,0,0,0,0,0
9842,71071,2017,0.0,93,미국,15세이상관람가,스릴러,아론 카츠,0,0,1,0,0,0,1
9843,71073,2018,86.84,101,중국,12세이상관람가,멜로/로맨스,소륜,0,0,0,0,1,0,0
9844,71074,2015,0.0,90,캐나다,12세이상관람가,가족,길 정거,0,0,0,0,0,0,1
9845,71076,2017,0.0,91,미국,전체관람가,코미디,데이빗 보워스,0,0,0,1,0,0,0
9846,71077,2018,0.0,30,일본,15세이상관람가,액션,미치오 후쿠다,0,1,0,0,0,0,0
9847,71078,2015,0.0,88,미국,아랍 에미리트 연합,12세이상관람가,데이비스 구겐하임,0,1,0,0,0,0,1
9848,71082,2018,0.0,95,영국,12세이상관람가,SF,해스래프 둘룰,0,0,0,0,0,0,0
9849,71085,2018,0.0,50,일본,15세이상관람가,액션,오다 에이치로,0,1,0,0,0,0,0
9850,71086,2018,100.0,50,일본,15세이상관람가,액션,오다 에이치로,0,1,0,0,0,0,0
9851,71087,2018,100.0,50,일본,15세이상관람가,액션,오다 에이치로,0,1,0,0,0,0,0
9852,71088,2019,50.0,117,일본,15세이상관람가,스릴러,츠츠미 유키히코,0,1,1,0,1,0,0
9853,71089,2013,89.55,117,미국,15세이상관람가,코미디,폴 페이그,0,0,0,1,0,0,0
9854,71093,2017,100.0,128,미국,12세이상관람가,음악,브렛 설리반,0,0,0,1,0,0,0
9855,71095,2016,0.0,80,미국,전체관람가,애니메이션,맷 피터스,0,1,0,0,0,0,0
9856,71097,2014,0.0,91,미국,15세이상관람가,드라마,다니엘 러스코,0,0,0,0,0,0,1
9857,71098,2012,0.0,97,미국,청소년관람불가,드라마,제시 테레로,0,0,1,0,1,0,0
9858,71103,2016,0.0,89,미국,15세이상관람가,코미디,케빈 코넬리,0,1,1,0,0,0,1
9859,71104,2016,0.0,86,미국,청소년관람불가,액션,칼 T. 에반스,0,0,1,0,1,0,0
9860,71105,2016,0.0,87,미국,15세이상관람가,액션,조이 존슨,0,0,1,0,0,0,1
9861,71106,2016,0.0,133,미국,스페인,15세이상관람가,테리 조지,0,0,1,0,1,0,0
9862,71108,2019,47.96,125,중국,12세이상관람가,SF,프란트 궈,1,0,0,0,0,0,0
9863,71109,2016,0.0,91,중국,12세이상관람가,코미디,진혁리,0,1,1,0,0,0,1
