,movie_id,year,rating,running_time,country,age_limit,genre,director,netflix,wavve,tving,disney,watcha,coupang,naver,name,time_unit
8715,96271,2020,0.0,78,한국,전체관람가,드라마,김채린,0,1,1,0,1,0,0,양지,1
8716,96279,2021,64.71,136,러시아,12세이상관람가,드라마,다닐라 코즐로브스키,0,1,1,0,1,0,0,체르노빌 1986,2
8717,96281,2020,0.0,85,중국,15세이상관람가,판타지,오응상,0,1,1,0,1,0,0,백발마녀외전,1
8718,96282,2021,0.0,71,일본,청소년관람불가,멜로/로맨스,쿠보타 쇼지,0,1,1,0,1,0,0,벌거벗은 천사 : 붉은 방,1
8719,96283,2019,0.0,24,한국,12세이상관람가,드라마,김윤정,0,0,0,0,1,0,0,스무살의 밤,0
8720,96284,2020,0.0,15,한국,12세이상관람가,드라마,정윤호,0,0,0,0,1,0,0,거울,0
8721,96285,2019,0.0,22,한국,12세이상관람가,드라마,권용재,0,0,0,0,1,0,0,굿바이! 굿마미,0
8722,96309,2020,40.51,103,한국,15세이상관람가,스릴러,권오승,0,0,1,0,0,0,0,미드나이트,1
8723,96312,2015,0.0,14,한국,15세이상관람가,드라마,황슬기,0,1,0,0,0,0,0,미아,0
8724,96315,2016,0.0,11,한국,12세이상관람가,드라마,황규일,0,1,0,0,0,0,0,야동인문학,0
8725,96318,2021,16.67,84,한국,청소년관람불가,코미디,황승재,0,0,0,0,1,0,1,썰,1
8726,96319,2020,80.33,116,덴마크,15세이상관람가,액션,앤더스 토머스 옌센,0,0,0,0,1,0,0,라이더스 오브 저스티스,1
8727,96320,2020,0.0,75,폴란드,청소년관람불가,드라마,다리아 보셰크,0,1,1,0,1,0,0,오 나의 마리아,1
8728,96321,2021,0.0,82,캐나다,미정,액션,커크 코우테,0,1,1,0,1,0,0,아메리칸 히트맨,1
8729,96350,2020,41.6,97,미국,15세이상관람가,액션,앤디 서키스,1,0,0,0,0,0,0,베놈 2: 렛 데어 비 카니지,1
8730,96351,2019,58.33,101,중국,15세이상관람가,드라마,주순,0,0,1,0,0,0,0,"그 여름, 가장 차가웠던",1
8731,96358,2020,20.0,114,호주,12세이상관람가,드라마,세스 라니,0,1,1,0,1,0,0,2067,1
8732,96369,2013,0.0,123,러시아,미정,뮤지컬,알리나 체빅,0,1,1,0,1,0,0,올라프 백작,2
8733,96371,2020,0.0,112,미국,12세이상관람가,드라마,에이저젤 제이콥스,0,1,1,0,0,0,1,프렌치 엑시트,1
8734,96372,2018,0.0,110,터키,미정,액션,에르한 바이티무르,0,1,1,0,1,0,1,머룬 베레: 보이지 않는 전사,1
